logFC,AveExpr,t,P.Value,adj.P.Val,B
X407_.hsa.mir.3154,1.09730359381912,2.71048789274279,7.52507236771696,3.26487328493567e-13,1.03902386297615e-12,18.7559242793918
X380_.hsa.mir.3130.1,1.14758951780955,2.41388262362981,7.5175054997923,3.4356333528151e-13,1.08602906656102e-12,18.7057685767259
X230_.hsa.mir.183,-1.97148867448105,9.02071155448798,-7.50012517890712,3.86188814716584e-13,1.21263287821007e-12,18.5907115850829
X667_.hsa.mir.410,-1.55069606040669,1.45972441836298,-7.46559119643904,4.86931768705372e-13,1.51884015271676e-12,18.3627010361519
X310_.hsa.mir.224,-2.13580207000738,1.98202893401202,-7.36079137257643,9.7921437683154e-13,3.03427612820826e-12,17.6756983217861
X474_.hsa.mir.320c.1,0.926542676256789,1.59968489489904,7.35348699922244,1.02779688444811e-12,3.16400217369321e-12,17.6280936902359
X938_.hsa.mir.4659a,-0.719270429322307,0.837998105555288,-7.33094443516211,1.1931936796725e-12,3.64931313718017e-12,17.4814072794205
X190_.hsa.mir.143,-1.74986931464279,11.8411690834856,-7.27202570780168,1.75950866952414e-12,5.34663602158627e-12,17.0996619050467
X1838_.hsa.mir.877,-1.06777989908858,2.23142357409135,-7.19906455736616,2.83710124070643e-12,8.56586336136366e-12,16.6302460303741
X1458_.hsa.mir.624,-1.04090429542683,3.75194956353365,-7.12187381791821,4.68477588641513e-12,1.40543276592454e-11,16.1376368377889
X340_.hsa.mir.29c,-1.24241587788025,10.7330170625048,-7.09114138374344,5.71373276152644e-12,1.70327096878415e-11,15.9426683031352
X208_.hsa.mir.153.1,-1.26580761640888,1.4193312612476,-6.96232851534757,1.30407216407633e-11,3.86300622188649e-11,15.1326971651419
X621_.hsa.mir.3909,-0.625787467389192,1.07563699229087,-6.95287273051942,1.38488699192627e-11,4.07676108248295e-11,15.0737017558688
X1533_.hsa.mir.6718,-2.14797310001029,4.17616063398317,-6.9486165105268,1.42285090398432e-11,4.16250171289824e-11,15.0471675842197
X308_.hsa.mir.222,0.849970926690176,8.52569570205288,6.8834278624045,2.14964963196119e-11,6.24990726329458e-11,14.6423799831773
X1723_.hsa.mir.7.1,0.922579930305079,8.29311948384615,6.85076309349518,2.64048552965335e-11,7.62986922985723e-11,14.4406908030314
X237_.hsa.mir.18b,-0.903946541345088,1.73470385392548,-6.84425853980276,2.75062154894875e-11,7.89965091191988e-11,14.4006196613727
X1109_.hsa.mir.4999,-0.720842144104886,1.67586196911298,-6.75355268703439,4.84813510244454e-11,1.38392220197053e-10,13.8450027246619
X646_.hsa.mir.3934,-0.605703831198925,0.762535299483173,-6.74038560487815,5.26135098841749e-11,1.49282910574978e-10,13.764842107568
X672_.hsa.mir.423,-0.67157133796017,9.40801470090144,-6.66967126272798,8.14637833266622e-11,2.29757137406335e-10,13.336490971272
X467_.hsa.mir.3200,-0.777179297315838,0.998049514673077,-6.66352719180784,8.46036034698574e-11,2.37192245442279e-10,13.2994453688523
X1621_.hsa.mir.6798,0.610010873577911,0.820178671490385,6.63888441647084,9.84344108274838e-11,2.74334955619792e-10,13.1511392948053
X352_.hsa.mir.3074,-1.00784567905996,4.387938843125,-6.60486331864763,1.21233541599826e-10,3.35888224079517e-10,12.9471230602903
